PMID	Title	Affiliation
23153176	Evolution and phylogeny of the mud shrimps (Crustacea: Decapoda) revealed from complete mitochondria...	Department of Life Sciences, National Cheng Kung University, Tainan, Taiwan.
23153193	Direct observations of parenting and real-time negative affect among adolescent smokers and nonsmoke...	a Institute for Health Research and Policy & Department of Psychology , University of Illinois at Chicago.
23153201	In vitro antimalarial susceptibility and molecular markers of drug resistance in Franceville, Gabon.	Unité de Parasitologie Médicale (UPARAM), Centre International de Recherches Médicales de Franceville (CIRMF), Franceville, Gabon.
23153241	Methylation of tumor suppressor microRNAs: lessons from lymphoid malignancies.	Department of Medicine, Queen Mary Hospital, The University of Hong Kong, Hong Kong.
23153253	Comparing statistics for objective detection of transient and steady-state evoked responses in newbo...	Cuban Neurosciences Center, Havana, Cuba. eleina.mijares@cneuro.edu.cu
23153252	The equivalence of acceptable noise level (ANL) with English, Mandarin, and non-semantic speech: a s...	Department of Otolaryngology, Buddhist Dalin Tzu-Chi General Hospital, Chiayi, Taiwan.
23153258	Helminth-infected patients with malaria: a low profile transmission hub?	Epidémiologie des Parasitoses et Mycoses Tropicales, EA3593, Université des Antilles et de la Guyane, Campus Saint Denis, Cayenne 97300, Guyane Française. mathieu.nacher@ch-cayenne.fr
23153259	Condom use at last sexual relationship among adolescents of Santiago Island, Cape Verde, - West Afri...	Universidade da Integração Internacional da Lusofonia Afro-Brasileira, Setor de Estudo: Gestão da Informação no Setor Público e Métodos Quantitativos, Av. Universidade, 2995, Fortaleza, CE 60020-181, Brasil.
23153276	Association between 24-hour urine sodium and potassium excretion and diet quality in six-year-old ch...	Unit for Nutrition Research, Landspitali-University Hospital, Eiriksgata 29, Reykjavik 101, Iceland.
23153385	Flexibility in processing visual information: effects of mood and hypnosis.	Alexandru Ioan Cuza University of Iasi, Romania. violeta.enea@uaic.ro
23153395	The Uganda Newborn Study (UNEST): an effectiveness study on improving newborn health and survival in...	Makerere University School of Public Health, College of Health Sciences, Mulago Hill, Kampala, Uganda. pwaiswa2001@yahoo.com
23153413	[The Mexican consensus on gastroesophageal reflux disease. Part I].	Servicio de Gastroenterología, Hospital Ángeles Torreón, Torreón, Coa, México. fhuertaiga@prodigy.net.mx
23153416	[Blue rubber bleb nevus syndrome: A case report].	Departamento de Gastroenterología y Nutrición, Instituto Nacional de Pediatría, México, D.F., México. martha_veronical@hotmail.com
23153425	[Delayed gastric emptying after partial duodenopancreatectomy].	Chirurgicka Klinika 2. LF a FN Motol, Praha.
23153427	[Injury to the abdominal wall by a foreign body with  a late perforation of the GIT].	Chirurgicke oddelenie MN Zlate Moravce. hanzel701@gmail.com
23153428	[Complications of breast augmentation  - a case report].	Chirurgicka Klinika FN Plzen-Lochotin. Ilona.Zednikova@seznam.cz
23153430	[Endoscopic therapy of early gastric carcinoma].	Ostravske University. ondrej.urban@nemvitkovice.cz
23153433	[Laparoscopic surgery for gastric carcinoma].	Chirurgicke oddeleni nemocnice Chrudim, Chrudim. ninger@nemcr.cz
23153435	Fasting blood glucose and insulin sensitivity are unaffected by HAART duration in Cameroonians recei...	Department of Internal Medicine, Faculty of Medicine and Biomedical Sciences, University of Yaoundé I, Yaoundé, Cameroon.
23153446	Reprint of: Serotyping and antibiotic susceptibility of Streptococcus pneumoniae strains isolated in...	Service de bactériologie médicale, institut Pasteur d'Algérie, Algiers, Algeria. htali@yahoo.fr
23153455	Overexpression of ATP-binding cassette transporter ABCG2 as a potential mechanism of acquired resist...	Department of Physiology and Pharmacology, Chang Gung University, Tao-Yuan 333, Taiwan. wuchung@mail.cgu.edu.tw
23153464	[Vestibular schwannoma as cause of sudden unilateral deafness and tinnitus].	Audiologisk Afdeling, Bispebjerg Hospital. kstep@dadlnet.dk
23153466	[Pilonidal disease is a benign condition].	Kirurgisk Afdeling, Køge Sygehus, Lykkebækvej 1, Køge. hellegadl@hotmail.com
23153465	[Health professional operators at dispatch centres shall ensure identification of cardiac arrest and...	Dansk Institut for Medicinsk Simulation, Herlev Hospital. monika_afzali@hotmail.com
23153468	[Mirtazapine versus other antidepressive agents for depression].	Psykiatrisk Center Ballerup, Maglevænget 2, Ballerup. jens.knud.larsen@regionh.dk
23153469	[Family occurrence of steroid-sensitive idiopathic nephrotic syndrome].	Børneafdelingen, Regionshospitalet Viborg, Heibergs Alle 4, Viborg. tusgaard@dadlnet.dk
23153470	[Bullectomy of giant bullae gave significant improvement of lung function].	Hjerte-lunge-kirurgisk Afdeling, Kardiovaskulært Forskningscenter, Aalborg Sygehus, Hobrovej 18-22, Aalborg. m.hoeltzermann@rn.dk
23153475	Hospitalisation associated with the 2009 H1N1 pandemic and seasonal influenza in Hong Kong, 2005 to ...	School of Public Health, The University of Hong Kong, Hong Kong.
23153498	[Paralysing lumbar disc herniation: a surgical emergency? Reflexion about a series of 24 patients an...	Service de neurochirurgie, CHU de Liège, domaine universitaire du Sart-Tilman, 4000 Liège, Belgique. a.dubuisson@chu.ulg.ac.be
23153515	The impact of a multifaceted ergonomic intervention program on promoting occupational health in comm...	Department of Rehabilitation Sciences, The Hong Kong Polytechnic University, Hong Kong. rsgszeto@inet.polyu.edu.hk
23153548	Beneficial remodeling of small saccular intracranial aneurysms after staged stent only treatment: a ...	Vista Radiology, Knoxville, Tennessee. Electronic address: ericmnyberg@gmail.com.
23153548	Beneficial remodeling of small saccular intracranial aneurysms after staged stent only treatment: a ...	Intermountain Neurosugery, St. Anthony's Hospital, Denver, Colorado.
23153558	Gallic acid inhibits gastric cancer cells metastasis and invasive growth via increased expression of...	Institute of Biochemistry and Biotechnology, Chung Shan Medical University, Taichung 402, Taiwan.
23153593	[Epidural and anesthesia for urgent cesarean section in a pregnant woman with acute stroke].	Servicio de Anestesiología y Reanimación, Hospital Universitario de Valme, Sevilla, España. Electronic address: macue82@hotmail.com.
23153594	[Bilateral and pneumomediastinal pneumothorax after transoral laser microsurgery and tracheotomy].	Departamento de Anestesiología y Reanimación, Hospital de Cabueñes, Gijón, Asturias, España. diegosotomesa@yahoo.es
23153625	Artificial insemination in dromedary camels.	Camel Reproduction Centre, Dubai, United Arab Emirates. luluskidmore@yahoo.com
23153626	Development of a large commercial camel embryo transfer program: 20 years of scientific research.	Veterinary Research Center, Camel Embryo Transfer Laboratory, Sweihan, Rabat Instituts, Morocco. anouassi@yahoo.com
23153675	Mental time travel: a case for evolutionary continuity.	School of Psychology, University of Auckland, Private Bag 92019, Auckland, New Zealand. m.corballis@auckland.ac.nz
23153674	Accumulation of tissue macrophages and depletion of resident macrophages in the diabetic thymus in r...	Electron Microscopy Center, Babes-Bolyai University Cluj-Napoca, Romania.
23153706	Targeting epidermal growth factor receptor/human epidermal growth factor receptor 2 signalling pathw...	Department of Oncology, National Taiwan University Hospital, Taipei, Taiwan.
23153714	Ictal dystonia and secondary generalization in temporal lobe seizures: a video-EEG study.	St. Sava Hospital, Belgrade, Serbia. ljubicapop@gmail.com
23153716	The antidepressant sertraline prevents the behavioral and EEG changes induced in two animal models o...	Depto. de Biología Celular y Fisiología, Instituto de Investigaciones Biomédicas, Universidad Nacional Autónoma de México, México. sitges@biomedicas.unam.mx
23153717	Biperiden for treatment of somnambulism in adolescents and adults with or without epilepsy: clinical...	Department for Psychophysiology and Organic Mental Disorders, University Psychiatric Clinic Vrapce, Zagreb, Croatia.
23153723	Bias and error in understanding plant invasion impacts.	The Bio-Protection Research Centre, PO Box 84, Lincoln University, Canterbury, New Zealand. philip.hulme@lincoln.ac.nz
23153728	Prevalence of papillary changes and folliculosis of the palpebral conjunctiva in asymptomatic Chines...	School of Optometry, The Hong Kong Polytechnic University, Hong Kong. kayin.chan@connect.polyu.hk
23153731	A historical review of progress in the assessment of dietary zinc intake as an indicator of populati...	Department of Human Nutrition, University of Otago, Dunedin, New Zealand. Rosalind.Gibson@Otago.AC.NZ
23153742	Oral resveratrol and calcium fructoborate supplementation in subjects with stable angina pectoris: e...	Craiova Cardiology Center, Craiova, Romania.
23153770	Presacral schwannoma.	Department of general surgery 'A', Faculty of Medecine of Tunis, Tunis El Manar University, La Rabta Hospital, 15, rue Djebel Akhdhar Jabbari, 1007 Tunis, Tunisia. aminmakni@msn.com
23153779	[Afferent loop stimulation prior to ileostomy closure].	Servicio de Cirugía General y Aparato Digestivo, Hospital Universitario Virgen de la Arrixaca, El Palmar, Murcia, España. j_abris@hotmail.com
23153780	[Evaluation of the gastrointestinal quality of life index as a system to prioritize patients on the ...	Instituto de Cirugía General y Aparato Digestivo (ICAD), Cínica Quirón, Valencia, España. planells_mvi@gva.es
23153821	A norovirus outbreak in a nursing home: norovirus shedding time associated with age.	Taipei City Hospital, Ren-Ai Branch, Taiwan.
23153842	Carbamazepine-induced hypersensitivity syndrome in chronic schizophrenia.	Bali Psychiatric Center, Bali District, New Taipei City, Taiwan.
23153864	Patterns of catch-up growth.	Liggins Institute, University of Auckland, Auckland, New Zealand.
23153894	Relevance of serum copper elevation induced by oral contraceptives: a meta-analysis.	Institute for Medical Research and Occupational Health, Ksaverska cesta 2, 10000 Zagreb, Croatia. zbabic@imi.hr
23153938	Effect of diabetes on the ion pumps of the bladder.	Department of Biomedical Sciences, College of Nursing, Public Authority for Applied Education & Training, Kuwait. mustafaseham@yahoo.com
23153990	PPARγ regulates the mitochondrial dysfunction in human neural stem cells with tumor necrosis factor ...	Department of Life Science, Fu Jen Catholic University, New Taipei City 242, Taiwan. cmcphd@gmail.com
23154003	Primary lung cancers <1 cm found with MR screening appeared larger with half-Fourier sequences than ...	Department of Biomedical Imaging and Radiological Sciences, National Yang-Ming University, Taipei, Taiwan.
23154009	A comparison of pyelography and various reconstructions of multidetector helical computed tomography...	Department of Medical Imaging, Chi-Mei Medical Center, Yung Kang Campus, 901, Chung Hwa Rd, Yung Kang City, Tainan County, Taiwan. tws4664@gmail.com
23154012	Imaging features of posterior limbus vertebrae.	Department of Radiology, Fenglin Veterans Hospital, Taiwan. pyhung0506@yahoo.com.tw
23154015	Aberrant right common carotid and subclavian arteries causing tracheoesophageal compression combined...	Department of Radiology, Institute for Children and Youth Health Care of Vojvodina, Hajduk Veljkova 10, 21000 Novi Sad, Serbia. jolo@neobee.net
23154024	Xanthogranulomatous prostatitis: a rare entity resembling prostate adenocarcinoma with magnetic reso...	Department of Urology, Kaohsiung Medical University Hospital, Kaohsiung, Taiwan.
23154094	Abnormal neural activity in partially remitted late-onset depression: an fMRI study of one-back work...	Department of Psychiatry, Chang Gung Memorial Hospital, Taoyuan County, Taiwan, ROC.
23154131	[First intraoperative magnetic resonance imaging in a Spanish hospital of the public healthcare syst...	Servicio de Neurocirugía, Hospital Universitario Son Espases, Palma de Mallorca, España. Electronic address: m.brell@telefonica.net.
23154130	[The history of Spanish neurosurgery: the Valencian school: J.J. Barcia Goyanes].	Servicio de Neurocirugía, Consorcio Hospital General Universitario de Valencia, Valencia, España.
23154143	Differential gene expressions in testes of L2 strain Taiwan country chicken in response to acute hea...	Department of Animal Science, National Chung Hsing University, Taichung, Taiwan.
23154154	Subcutaneous pedicled V-Y advancement flap for surgical reconstruction of the auricle of the ear.	Servicio de Dermatología, Complejo Asistencial Universitario de León, León, España. Electronic address: bgonsix@aedv.es.
23154154	Subcutaneous pedicled V-Y advancement flap for surgical reconstruction of the auricle of the ear.	Servicio de Dermatología, Complejo Asistencial Universitario de León, León, España.
23154154	Subcutaneous pedicled V-Y advancement flap for surgical reconstruction of the auricle of the ear.	Servicio de Dermatología, Complejo Asistencial Universitario de León, León, España.
23154154	Subcutaneous pedicled V-Y advancement flap for surgical reconstruction of the auricle of the ear.	Servicio de Dermatología, Complejo Asistencial Universitario de León, León, España.
23154156	For non-exercising people, the number of steps walked is more strongly associated with health than t...	School of Public Health, Li Ka Shing Faculty of Medicine, University of Hong Kong, Hong Kong.
23154283	The role of dendritic cells in Mycobacterium tuberculosis infection.	Armauer Hansen Research Institute; Addis Ababa, Ethopia. adane_mihret@yahoo.com
23154298	Living with a total artificial heart: patients' perspectives.	Laura S. Savage, RN, MSN, PCCN Transplant Coordinator, Heart Failure/Heart Transplant Program, Pauley Heart Center, Virginia Commonwealth University Health System, Richmond. Jeanne Salyer, PhD, RN Associate Professor, School of Nursing, Virginia Commonwealth University, Richmond. Maureen P. Flattery, RN, MS, ANP Transplant Coordinator, Heart Failure/Heart Transplant Program, Pauley Heart Center, Virginia Commonwealth University Health System, Richmond. Lucy Alburger, RN Staff Nurse, Pauley Heart Center, Virginia Commonwealth University Health System, Richmond. Kenna Joyce, RN, BSN, PCCN Clinical Coordinator, Pauley Heart Center, Virginia Commonwealth University Health System, Richmond. Barbara Mann, RN Staff Nurse, Pauley Heart Center, Virginia Commonwealth University Health System, Richmond. Malliga Ravindar, RN, MSN Staff Nurse, Pauley Heart Center, Virginia Commonwealth University Health System, Richmond. Maranatha Gonzalez, RN, MS Staff Nurse, Pauley Heart Center, Virginia Commonwealth University Health System, Richmond.
23154311	SIDATRAT: informatics to improve HIV/AIDS care.	Pedro Kourí Tropical Medicine Institute (IPK), Havana, Cuba. aragones@ipk.sld.cu
23154316	Clinical impact of RehaCom software for cognitive rehabilitation of patients with acquired brain inj...	International Neurological Restoration Center (CIREN), Havana, Cuba. efernandez@neuro.ciren.cu
23154314	Acute myocardial infarction mortality in Cuba, 1999-2008.	Cardiology and Cardiovascular Surgery Institute, Havana, Cuba. nurysarmas@infomed.sld.cu
23154317	An efficient sampling approach to surveillance of non-communicable disease risk factors in Cienfuego...	National Medical Sciences Information Center, Havana, Cuba. lcsilva@infomed.sld.cu
23154318	New indicators proposed to assess tuberculosis control and elimination in Cuba.	Pedro Kourí Tropical Medicine Institute (IPK), Havana, Cuba. ochoa@ipk.sld.cu
23154319	Community engagement, personal responsibility and self help in Cuba's health system reform.	National Hygiene, Epidemiology and Microbiology Institute (INHEM), Havana, Cuba. isapi@inhem.sld.cu
23154328	Trismus release in oral cancer patients.	Section of Plastic Surgery, Department of Surgery, National Cheng Kung University Medical College and Hospital, Tainan, Taiwan.
23154327	The love surrounding the first skin graft in Taiwan: "British skin" that will stay in Taiwanese hear...	Division of Plastic and Reconstructive Surgery, Department of Surgery, Kaohsiung Medical University Hospital, Kaohsiung, Taiwan. chshla@kmu.edu.tw
23154329	The treatment of bone exposure in burns by using artificial dermis.	Division of Plastic Surgery, Department of Surgery, National Taiwan University Hospital and College of Medicine, Taipei, Taiwan.
23154330	Reconstruction of advance head and neck cancer patients after tumor ablation with simultaneous multi...	Division of Plastic Surgery, Dalin Tzu Chi General Hospital, Dalin, Taiwan.
23154332	Modified tenodesis method for treatment of mallet fractures.	Division of Plastic Surgery, Department of Surgery, Mackay Memorial Hospital, Taipei, Taiwan.
23154333	Successful treatment of Kasabach-Merritt phenomenon with intralesional corticosteroid injections: a ...	Division of Plastic Surgery, Department of Surgery, Cathay General Hospital, Taiwan.
23154334	The significance of close but negative excision margin for treatment of soft-tissue sarcoma.	Division of Plastic and Reconstructive Surgery, Department of Surgery, Taichung Veterans General Hospital, Taichung, Taiwan. newvin@gmail.com
23154335	Are auricular keloids and persistent hypertrophic scars resectable? The role of intrascar excision.	Linkou Burn Center, Department of Plastic Surgery, Chang Gung Memorial Hospital and University, Taoyuan, Taiwan. jyyang@adm.cgmh.org.tw
23154338	Adipose-derived stem cells seeded on acellular dermal matrix grafts enhance wound healing in a murin...	Graduate Institute of Life Sciences, National Defense Medical Center, Taipei, Taiwan.
23154336	Expanding the applications of the pedicled anterolateral thigh and vastus lateralis myocutaneous fla...	Division of Plastic Surgery, Tzu Chi Dalin General Hospital, Dalin, Taiwan.
23154340	MicroRNA signatures in ischemia-reperfusion injury.	Faculty of Medicine, College of Medicine, Kaohsiung Medical University, Kaohsiung, Taiwan. kapich@kmu.edu.tw
23154356	Commentary on "Le Fort II osteotomy".	Section of Plastic Surgery, Geisel School of Medicine at Dartmouth, Dartmouth Hitchcock Medical Center, Lebanon, New Hampshire. stotland@hitchcock.org
23154359	Commentary on "Obstructive sleep apnea after dynamic sphincter pharyngoplasty".	michaelcedars@gmail.com
23154360	Thoughts on the Davies repair of unilateral cleft lip.	michaelcedars@gmail.com
23154385	Ascorbic acid improves the developmental competence of porcine oocytes after parthenogenetic activat...	Department of Animal Science, National Chung Hsing University, Taichung 402, Taiwan, ROC.
23154392	Long-term outcomes of the australasian randomized clinical trial comparing laparoscopic and conventi...	Department of Surgery, University of Otago, Christchurch, New Zealand. bagshaw@clear.net.nz
23154424	Association and prognostic value of serum inflammation markers in patients with leukoplakia and oral...	Department of Laboratory Medicine, Chang-Gung Memorial Hospital, Taoyuan County, Taiwan.
23154435	A model-based survey of physical health in community-dwelling older adults.	College of Nursing, Kaohsiung Medical University, Kaohsiung City, Taiwan, ROC.
23154437	Development of frailty indicators for the community-dwelling older adults.	Department of Nursing, Cardinal Tien College of Healthcare and Management.
23154436	Predictors of sleep quality in community-dwelling older adults in Northern Taiwan.	School of Nursing, National Yang-Ming University.
23154438	Nonimaging clinical assessment of impaired swallowing in community-dwelling older adults in Taiwan.	Department of Nursing, School of Nursing, National Taipei University of Nursing and Health Sciences.
23154439	The effects of a spiritual learning program on improving spiritual health and clinical practice stre...	Department of Nursing, Chang Gung University of Science and Technology. yjshiao@gw.cgust.edu.tw
23154441	Exploring the association between nurse workload and nurse-sensitive patient safety outcome indicato...	Department of Administration, Kuang Tein General Hospital.
23154440	Qualitative assessment of a blended learning intervention in an undergraduate nursing course.	Graduate Institute of Health Allied Education, National Taipei University of Nursing and Health Sciences. llhsu@ntunhs.edu.tw
23154442	Psychological distress in women who have experienced intrauterine insemination.	Department of Nursing, Cathay General Hospital, Hsinchu.
23154484	Soft cutting of single-wall carbon nanotubes by low temperature ultrasonication in a mixture of sulf...	Institute for Nuclear Problems, Belarus State University, Minsk, Belarus. mikhail.shuba@gmail.com
23154544	Interpretation of PET scans: do not take SUVs at face value.	Virginia G. Piper Cancer Center Clinical Trials at Scottsdale Healthcare, Scottsdale, Arizona; The Translational Genomics Research Institute, Phoenix, Arizona; CRAB-Clinical Trials Consortium, Seattle, Washington. Electronic address: gweiss@tgen.org.
23154544	Interpretation of PET scans: do not take SUVs at face value.	Virginia G. Piper Cancer Center Clinical Trials at Scottsdale Healthcare, Scottsdale, Arizona; Imaging Endpoints Core Lab, Scottsdale, Arizona.
23154547	The introduction of systematic genomic testing for patients with non-small-cell lung cancer.	Department of Medical Oncology, Lowe Center for Thoracic Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts; Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts; Department of Medicine, Harvard Medical School, Boston, Massachusetts. Electronic address: scardarella@partners.org.
23154547	The introduction of systematic genomic testing for patients with non-small-cell lung cancer.	Department of Medical Oncology, Lowe Center for Thoracic Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.
23154547	The introduction of systematic genomic testing for patients with non-small-cell lung cancer.	Laboratory for Molecular Medicine, Partners Healthcare Center for Personalized Genetic Medicine, Cambridge, Massachusetts; Department of Pathology, Massachusetts General Hospital, Boston, Massachusetts.
23154547	The introduction of systematic genomic testing for patients with non-small-cell lung cancer.	Department of Medical Oncology, Lowe Center for Thoracic Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.
23154547	The introduction of systematic genomic testing for patients with non-small-cell lung cancer.	Department of Medical Oncology, Lowe Center for Thoracic Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts; Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts; Department of Medicine, Harvard Medical School, Boston, Massachusetts.
23154547	The introduction of systematic genomic testing for patients with non-small-cell lung cancer.	Department of Medical Oncology, Lowe Center for Thoracic Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts; Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts; Department of Medicine, Harvard Medical School, Boston, Massachusetts.
23154547	The introduction of systematic genomic testing for patients with non-small-cell lung cancer.	Department of Medicine, Harvard Medical School, Boston, Massachusetts; Department of Medicine, Massachusetts General Hospital, Boston, Massachusetts.
23154547	The introduction of systematic genomic testing for patients with non-small-cell lung cancer.	Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts; The Belfer Institute for Applied Cancer Science, Dana-Farber Cancer Institute, Boston, Massachusetts.
23154547	The introduction of systematic genomic testing for patients with non-small-cell lung cancer.	Department of Pathology, Brigham and Women's Hospital, Boston, Massachusetts; Department of Pathology, Harvard Medical School, Boston, Massachusetts.
23154547	The introduction of systematic genomic testing for patients with non-small-cell lung cancer.	Department of Medical Oncology, Lowe Center for Thoracic Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts; Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts; Department of Medicine, Harvard Medical School, Boston, Massachusetts.
23154548	FGFR1 amplification in squamous cell carcinoma of the lung.	Department or Thoracic Oncology, Massachusetts General Hospital Cancer Center, Boston, Massachusetts. Electronic address: rheist@partners.org.
23154548	FGFR1 amplification in squamous cell carcinoma of the lung.	Department of Pathology, Massachusetts General Hospital, Boston, Massachusetts.
23154548	FGFR1 amplification in squamous cell carcinoma of the lung.	Department or Thoracic Oncology, Massachusetts General Hospital Cancer Center, Boston, Massachusetts.
23154548	FGFR1 amplification in squamous cell carcinoma of the lung.	Department or Thoracic Oncology, Massachusetts General Hospital Cancer Center, Boston, Massachusetts.
23154548	FGFR1 amplification in squamous cell carcinoma of the lung.	Department or Thoracic Oncology, Massachusetts General Hospital Cancer Center, Boston, Massachusetts.
23154548	FGFR1 amplification in squamous cell carcinoma of the lung.	Department of Pulmonary Medicine, Massachusetts General Hospital, Boston, Massachusetts.
23154548	FGFR1 amplification in squamous cell carcinoma of the lung.	Department or Thoracic Oncology, Massachusetts General Hospital Cancer Center, Boston, Massachusetts.
23154548	FGFR1 amplification in squamous cell carcinoma of the lung.	Department of Pathology, Massachusetts General Hospital, Boston, Massachusetts.
23154546	A pilot characterization of human lung NSCLC by protein pathway activation mapping.	Laboratory of Clinical Research, IRCCS-CROB Rionero in Vulture (PZ) Italy.
23154546	A pilot characterization of human lung NSCLC by protein pathway activation mapping.	Laboratory of Clinical Research, IRCCS-CROB Rionero in Vulture (PZ) Italy.
23154546	A pilot characterization of human lung NSCLC by protein pathway activation mapping.	CRO-IRCCS, National Cancer Institute, Aviano, Italy.
23154546	A pilot characterization of human lung NSCLC by protein pathway activation mapping.	CRO-IRCCS, National Cancer Institute, Aviano, Italy.
23154546	A pilot characterization of human lung NSCLC by protein pathway activation mapping.	Center for Applied Proteomics and Molecular Medicine, George Mason University, Manassas Virginia.
23154546	A pilot characterization of human lung NSCLC by protein pathway activation mapping.	Department of Onco-haematology I.R.C.C.S Centro di Riferimento, Oncologico di Basilicata- Rionero in Vulture (PZ) Italy.
23154546	A pilot characterization of human lung NSCLC by protein pathway activation mapping.	Department of Onco-haematology I.R.C.C.S Centro di Riferimento, Oncologico di Basilicata- Rionero in Vulture (PZ) Italy.
23154546	A pilot characterization of human lung NSCLC by protein pathway activation mapping.	University of Padova, Clinica Chirurgica 2, Padova, Italy.
23154546	A pilot characterization of human lung NSCLC by protein pathway activation mapping.	University of Padova, Clinica Chirurgica 2, Padova, Italy.
23154546	A pilot characterization of human lung NSCLC by protein pathway activation mapping.	CRO-IRCCS, National Cancer Institute, Aviano, Italy.
23154546	A pilot characterization of human lung NSCLC by protein pathway activation mapping.	CRO-IRCCS, National Cancer Institute, Aviano, Italy.
23154546	A pilot characterization of human lung NSCLC by protein pathway activation mapping.	Center for Applied Proteomics and Molecular Medicine, George Mason University, Manassas Virginia.
23154546	A pilot characterization of human lung NSCLC by protein pathway activation mapping.	Center for Applied Proteomics and Molecular Medicine, George Mason University, Manassas Virginia. Electronic address: epetrico@gmu.edu.
23154551	Mediastinal lymph node examination and survival in resected early-stage non-small-cell lung cancer i...	The Multidisciplinary Thoracic Oncology Program, Boston Baskin Cancer Foundation, Baptist Cancer Center, Memphis, Tennessee. Electronic address: rosarogi@bmg.md.
23154551	Mediastinal lymph node examination and survival in resected early-stage non-small-cell lung cancer i...	Department of Epidemiology and Biostatistics, School of Public Health, University of Memphis, Memphis, Tennessee.
23154552	Local ablative therapy of oligoprogressive disease prolongs disease control by tyrosine kinase inhib...	Department of Medicine, Division of Medical Oncology, University of Colorado Cancer Center, Colorado. Electronic address: andrew.weickhardt@ucdenver.edu.
23154552	Local ablative therapy of oligoprogressive disease prolongs disease control by tyrosine kinase inhib...	Department of Medicine, Division of Medical Oncology, University of Colorado Cancer Center, Colorado.
23154552	Local ablative therapy of oligoprogressive disease prolongs disease control by tyrosine kinase inhib...	Department of Medicine, Division of Medical Oncology, University of Colorado Cancer Center, Colorado.
23154552	Local ablative therapy of oligoprogressive disease prolongs disease control by tyrosine kinase inhib...	Department of Radiation Oncology, University of Colorado Cancer Center, Colorado.
23154552	Local ablative therapy of oligoprogressive disease prolongs disease control by tyrosine kinase inhib...	Department of Biostatistics and Informatics, Colorado School of Public Health and University of Colorado, Colorado.
23154552	Local ablative therapy of oligoprogressive disease prolongs disease control by tyrosine kinase inhib...	Department of Medicine, Division of Medical Oncology, University of Colorado Cancer Center, Colorado.
23154552	Local ablative therapy of oligoprogressive disease prolongs disease control by tyrosine kinase inhib...	Department of Pathology, University of Colorado Cancer Center, Colorado.
23154552	Local ablative therapy of oligoprogressive disease prolongs disease control by tyrosine kinase inhib...	Department of Biostatistics and Informatics, Colorado School of Public Health and University of Colorado, Colorado.
23154552	Local ablative therapy of oligoprogressive disease prolongs disease control by tyrosine kinase inhib...	Department of Biostatistics and Informatics, Colorado School of Public Health and University of Colorado, Colorado.
23154552	Local ablative therapy of oligoprogressive disease prolongs disease control by tyrosine kinase inhib...	Department of Medicine, Division of Medical Oncology, University of Colorado Cancer Center, Colorado.
23154552	Local ablative therapy of oligoprogressive disease prolongs disease control by tyrosine kinase inhib...	Department of Medicine, Division of Medical Oncology, University of Colorado Cancer Center, Colorado.
23154554	Overall survival improvement in patients with lung cancer and bone metastases treated with denosumab...	Department of Clinical and Biological Sciences, University of Turino, Orbassano, Italy. Electronic address: giorgio.scagliotti@unito.it.
23154554	Overall survival improvement in patients with lung cancer and bone metastases treated with denosumab...	Department of Oncology, McGill University Health Centre, Montreal, Canada.
23154554	Overall survival improvement in patients with lung cancer and bone metastases treated with denosumab...	The Falck Division of Medical Oncology, Department of Oncology, Ospedale Niguarda Ca' Granada, Milan, Italy.
23154554	Overall survival improvement in patients with lung cancer and bone metastases treated with denosumab...	Joan Karnell Cancer Center, Pennsylvania Hospital, Philadelphia, Pennsylvania.
23154554	Overall survival improvement in patients with lung cancer and bone metastases treated with denosumab...	Department of Oncology, Weston Park Hospital, University of Sheffield, Sheffield, United Kingdom.
23154554	Overall survival improvement in patients with lung cancer and bone metastases treated with denosumab...	Department of Surgery, University Medical Center Mannheim, Heidelberg University, Mannheim, Germany.
23154554	Overall survival improvement in patients with lung cancer and bone metastases treated with denosumab...	Centre Jean Bernard, Clinique Victor Hugo, Le Mans, France.
23154554	Overall survival improvement in patients with lung cancer and bone metastases treated with denosumab...	South Texas Oncology and Hematology, San Antonio, Texas.
23154554	Overall survival improvement in patients with lung cancer and bone metastases treated with denosumab...	The Maria Sklodowska-Curie Institute of Oncology, Warsaw, Poland.
23154554	Overall survival improvement in patients with lung cancer and bone metastases treated with denosumab...	Oncology Hematology Associates of Northern Illinois, Gurnee, Illinois.
23154554	Overall survival improvement in patients with lung cancer and bone metastases treated with denosumab...	Department of Medical Oncology, Western Hospital, Footscray, Victoria, Australia.
23154554	Overall survival improvement in patients with lung cancer and bone metastases treated with denosumab...	Department of Medical Oncology, Hospital Clínico San Carlos, Madrid, Spain.
23154554	Overall survival improvement in patients with lung cancer and bone metastases treated with denosumab...	Instituto do Cancer Arnaldo Vieira de Carvalho, University of São Paulo Medical School, Sao Paolo, Brazil.
